FILM NO.,Distribution,,,,,,,,,,,
,0%-10%,11%-20%,21%-30%,31%-40%,41%-50%,51%-60%,61%-70%,71%-80%,81%-90%,91%-100%,,
Top Gun: Maverick (2022),0,0,0,3,0,0,0,0,0,0,,
Spider-Man: No Way Home (2021),15,27,18,9,4,15,15,5,5,0,,
Aladdin (2019),0,0,0,0,0,0,0,0,0,0,,
Star Wars: The Rise of Skywalker (2019),1,3,1,0,0,0,4,2,1,0,,
Joker (2019),0,0,0,0,0,0,0,0,0,0,,
Captain Marvel (2019),6,0,2,0,0,3,0,3,0,0,,
Spider-Man: Far From Home (2019),43,18,1,25,8,11,12,9,5,0,,
Avengers 4: Endgame (2019),0,0,6,1,0,0,0,1,1,0,,
Aquaman (2018),0,0,6,0,2,0,0,0,0,13,,
Jurassic World: Fallen Kingdom (2018),0,0,0,0,19,9,4,19,0,0,,
Avengers 3: Infinity War (2018),14,12,3,2,0,5,0,0,0,0,,
Black Panther (2018),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,
The Fate of the Furious F8 (2017),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,
Beauty and the Beast (2017),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,
Star Wars 8 - The Last Jedi (2017),2,0,5,25,14,4,6,13,9,0,,
Rogue One - A Star Wars Story (2016),0,0,37,15,12,7,0,4,24,0,,
Captain America 3: Civil War (2016),0,0,0,0,0,0,0,0,0,0,,
Avengers 2: Age of Ultron (2015),0,14,3,0,4,22,0,0,0,0,,
Furious 7 (2015),3,0,0,0,0,0,0,0,0,0,,
Jurassic World (2015),4,0,0,17,12,0,0,7,0,0,,
Star Wars: The Force Awakens (2015),0,0,0,5,0,0,0,0,0,0,,
Transformers 4: Age of Extinction (2014),0,0,0,0,5,0,1,26,5,1,,
Iron Man 3 (2013),1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,
The Hobbit 1: An Unexpected Journey (2012),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,
The Dark Knight Rises (2012),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,
Skyfall (2012),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,
The Avengers (2012),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,
Pirates of the Caribbean 4: On Stranger Tides (2011),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,
Transformers 3: Dark of the Moon (2011),0,0,55,0,0,0,0,0,0,0,,
Harry Potter and the Deathly Hallows Part 2 (2011),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,
Alice in Wonderland (2010),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,
The Dark Knight (2008),0,17 ,19 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,,
Pirates of the Caribbean 2: Dead Man's Chest (2006),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,
The Lord of the Rings: The Return of the King (2003),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,
Harry Potter and the Philosopher's Stone (2001),0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,