Name,Time,All Other,E&SE Asian
Harry Potter and the Philosopher's Stone (2001),"November 16, 2001",8375,0
The Lord of the Rings: The Return of the King (2003),"December 18, 2003",9597,0
Pirates of the Caribbean 2: Dead Man's Chest (2006),"July 7, 2006",7986,0
The Dark Knight (2008),"July 18, 2008",12531,293
Alice in Wonderland (2010),"March 5, 2010",5690,0
Harry Potter and the Deathly Hallows Part 2 (2011),"July 15, 2011",5181,0
Transformers 3: Dark of the Moon (2011),"June 29, 2011",13597,296
Pirates of the Caribbean 4: On Stranger Tides (2011),"May 20, 2011",8086,0
The Avengers (2012),"May 4, 2012",10115,0
Skyfall (2012),"November 9, 2012",6408,0
The Dark Knight Rises (2012),"July 20, 2012",12191,0
The Hobbit 1: An Unexpected Journey (2012),"December 14, 2012",9444,0
Iron Man 3 (2013),"May 3, 2013",7607,1
Transformers 4: Age of Extinction (2014),"June 27, 2014",13250,225
Star Wars: The Force Awakens (2015),"December 18, 2015",7169,17
Jurassic World (2015),"June 12, 2015",7048,273
Furious 7 (2015),"April 3, 2015",8152,8
Avengers 2: Age of Ultron (2015),"May 1, 2015",10292,241
Captain America 3: Civil War (2016),"May 6, 2016",9918,0
Rogue One - A Star Wars Story (2016),"December 16, 2016",7539,540
Star Wars 8 - The Last Jedi (2017),"December 15, 2017",7196,618
Beauty and the Beast (2017),"March 17, 2017",5910,0
The Fate of the Furious F8 (2017),"April 14, 2017",9260,0
Black Panther (2018),"February 16, 2018",7901,0
Avengers 3: Infinity War (2018),"April 27, 2018",8863,173
Jurassic World: Fallen Kingdom (2018),"June 22, 2018",6503,277
Aquaman (2018),"December 21, 2018",6919,136
Avengers 4: Endgame (2019),"April 26, 2019",11676,35
Spider-Man: Far From Home (2019),"July 2, 2019",11099,791
Captain Marvel (2019),"March 8, 2019",7316,60
Joker (2019),"October 4, 2019",6876,0
Star Wars: The Rise of Skywalker (2019),"December 20, 2019",7247,57
Aladdin (2019),"May 24, 2019",8608,0
Spider-Man: No Way Home (2021),"December 17, 2021",11636,637
Spider-Man: No Way Home (2021),"May 27, 2022",8506,14
,,,